company_name,total_responses_2025,want_count_2025,unsure_count_2025,not_want_count_2025,unknown_brand_count_2025,avg_response_score_2025,want_pct_2025,unsure_pct_2025,not_want_pct_2025,unknown_brand_pct_2025,rank_want_2025,rank_not_want_2025,rank_unknown_brand_2025
DAR Tech,1228,137,300,380,411,-0.5079559363525091,0.1115635179153094,0.2442996742671009,0.3094462540716612,0.3346905537459283,43,37,17
DataArt,1228,368,268,236,356,0.2006880733944954,0.2996742671009772,0.2182410423452769,0.1921824104234527,0.2899022801302932,13,58,21
Documentolog,1228,112,282,502,332,-0.71875,0.0912052117263843,0.2296416938110749,0.4087947882736156,0.2703583061889251,47,21,22
EPAM Kazakhstan,1228,554,243,317,114,0.263016157989228,0.4511400651465798,0.1978827361563518,0.25814332247557,0.0928338762214983,6,46,35
Eurasian Bank,1228,86,332,766,44,-0.8766891891891891,0.0700325732899022,0.2703583061889251,0.6237785016286646,0.0358306188925081,52,1,45
ForteBank,1228,206,393,609,20,-0.5289735099337748,0.1677524429967426,0.3200325732899022,0.495928338762215,0.01628664495114,30,12,51
Freedom Bank,1228,504,312,393,19,0.0347394540942928,0.4104234527687296,0.254071661237785,0.3200325732899022,0.015472312703583,8,35,52
Freedom Broker,1228,330,362,445,91,-0.2365875109938434,0.2687296416938111,0.2947882736156352,0.3623778501628664,0.0741042345276873,16,28,36
"Freedom Lifestyle (Arbuz, Aviata, Ticketon)",2456,748,755,835,118,-0.1304533789563729,0.3045602605863192,0.3074104234527687,0.3399837133550488,0.0480456026058631,12,32,42
Freedom Pay,1228,380,367,362,119,-0.060414788097385,0.3094462540716612,0.2988599348534202,0.2947882736156352,0.0969055374592833,11,38,34
Freedom Telecom,1228,310,398,452,68,-0.2482758620689655,0.252442996742671,0.3241042345276873,0.3680781758957654,0.0553745928338762,17,27,41
Globerce Capital,1228,52,261,260,655,-0.5828970331588132,0.0423452768729641,0.2125407166123778,0.2117263843648208,0.5333876221498371,57,53,7
Halyk Bank,1228,267,295,658,8,-0.5245901639344263,0.2174267100977198,0.2402280130293159,0.5358306188925082,0.006514657980456,25,8,55
Halyk FinService,1228,173,351,549,155,-0.5657036346691519,0.1408794788273615,0.2858306188925081,0.4470684039087947,0.1262214983713355,38,17,31
Halyk Finance,1228,172,366,600,90,-0.6063268892794376,0.1400651465798045,0.2980456026058632,0.4885993485342019,0.0732899022801303,39,13,37
InDrive,1228,592,297,317,22,0.2686567164179104,0.4820846905537459,0.2418566775244299,0.25814332247557,0.017915309446254,3,46,50
KAP Technology,1228,38,216,223,751,-0.639412997903564,0.0309446254071661,0.1758957654723127,0.1815960912052117,0.6115635179153095,61,60,3
KMF Bank,1228,109,315,582,222,-0.7495029821073559,0.0887622149837133,0.256514657980456,0.4739413680781759,0.1807817589576547,48,15,28
Kaspi Bank,1228,425,331,467,5,-0.1340964840556009,0.3460912052117263,0.2695439739413681,0.3802931596091205,0.004071661237785,10,25,57
Kcell,1228,341,362,517,8,-0.2778688524590164,0.2776872964169381,0.2947882736156352,0.4210097719869707,0.006514657980456,15,20,55
Kolesa Group,1228,627,270,311,20,0.3385761589403973,0.510586319218241,0.2198697068403908,0.253257328990228,0.01628664495114,2,48,51
Magnum GO E-Commerce,1228,187,341,675,25,-0.6741479634247715,0.1522801302931596,0.2776872964169381,0.5496742671009772,0.020358306188925,32,6,49
Mechta Market,1228,100,339,750,39,-0.8090832632464255,0.0814332247557003,0.2760586319218241,0.6107491856677525,0.0317589576547231,50,3,46
Mycar Digital,1228,278,359,420,171,-0.2431409649952696,0.2263843648208469,0.2923452768729642,0.3420195439739413,0.1392508143322475,21,30,30
Netcracker Technology,1228,179,217,229,603,-0.152,0.1457654723127036,0.1767100977198697,0.1864820846905537,0.4910423452768729,36,59,9
Norsec Delta Projects,1228,55,210,240,723,-0.592079207920792,0.0447882736156351,0.1710097719869706,0.1954397394136807,0.5887622149837134,56,56,6
